presence,X,Y,elevation,aridity,temp_seasonality,mean_temp,coldest_month,warmest_month,annual_precipitation,driest_month,wettest_month
0,-119.56516552427296,34.72975975514855,1265.0682373046875,3254,5149,113.24041748046875,58,184,675,1,127
0,-119.59804386367296,34.424152895616494,57.68449020385742,2684,2990,157.33892822265625,122,199,409,0,94
0,-119.83735505537132,34.47239242635392,142.8643798828125,2705,3286,154.2307891845703,114,198,465,0,102
0,-120.54585631998279,34.679903256900374,12.035969734191895,2828,1946,141,117,167,331,0,68
0,-119.66595649915492,34.64594693917459,1153.6033935546875,3053,4888,120.5704345703125,70,191,670,0,130
0,-120.46581642816476,34.68717961069876,69.7684097290039,2594,2215,141.88523864746094,115,171,356,0,73
0,-119.82307184235329,34.6289687803117,521.76129150390625,2622,4302,146.24525451660156,98,207,577,0,122
0,-120.1073886297877,34.995211921496946,631.08819580078125,2825,4488,138.82374572753906,90,202,534,0,103
0,-119.56597400802869,34.7739568671091,1164.8875732421875,3077,5190,121.65322875976562,64,192,643,1,121
0,-119.55869765422705,34.01721607207733,196.04742431640625,2610,2452,150.2353973388672,122,183,406,0,93
0,-119.78291714915164,34.94589441241902,709.3389892578125,2321,5307,143.07460021972656,81,215,538,0,106
0,-119.77105938740083,33.97409693845729,87.81956481933594,2364,2265,148.276611328125,123,179,393,NA,88
0,-120.40248520063197,34.763177083704086,117.27013397216797,2672,2421,142.35263061523438,113,174,366,0,76
0,-119.80070379177788,34.68771859986901,1333.8511962890625,3609,4704,108.31929779052734,62,178,728,1,138
0,-120.02088086792378,34.62492636153482,218.58053588867188,2388,3595,156,113,205,451,0,95
0,-120.50112021883197,34.9520927878769,45.2734489440918,2938,2366,142,112,172,355,0,75
0,-119.67511931505328,34.43789711945789,143.0872344970703,2683,3136,156,118,198,460,0,104
0,-119.46868646275492,34.833515170421784,883.50238037109375,2364,5593,139.3555450439453,75,215,552,0,109
0,-119.65652418867131,34.910321127182485,726.6893310546875,2202,5487,144.1875457763672,80,218,530,0,106
0,-119.86538249223689,34.4977249173557,735.30389404296875,3293,4089,137.17958068847656,90,192,664,0,137
0,-119.6018167878664,34.79012654221661,1177.3944091796875,3129,5217,119.99427032470703,64,193,650,1,123
0,-119.60855415249755,34.658343690090355,1183.2528076171875,3102,4988,118.20526123046875,66,190,666,1,127
0,-120.0979563193041,34.65807419550523,243.5708770751953,2479,3458,151.57131958007812,111,198,454,0,94
0,-120.21195252886312,34.53653213761373,270.49835205078125,2814,2909,146.42868041992188,112,186,471,0,96
0,-119.66811245583689,34.879059755307956,873.10662841796875,2457,5343,137.7268829345703,76,209,584,0,115
0,-120.15347220386477,35.060968600267515,634.48687744140625,2843,4545,137.07012939453125,85,199,567,0,108
0,-119.8583756330205,34.057640259846124,356.6295166015625,3073,2712,139.96731567382812,111,178,520,0,110
0,-119.90957960421721,34.50985217368633,729.6405029296875,3341,4003,136.92259216308594,91,190,657,0,135
0,-120.28525505605,34.77368737252397,273.6463317871094,2716,2938,145.38755798339844,111,185,431,0,85
0,-119.66272256413197,34.83001174081515,1072.6561279296875,3022,5184,126.22885131835938,70,199,630,0,121
0,-119.63792906228934,34.60983466476781,1004.5286865234375,2863,4840,131.1985626220703,77,197,657,0,133
0,-119.6077456687418,34.89469044124522,771.2164306640625,2268,5525,143.3322296142578,78,217,539,0,107
0,-120.29280090443689,34.5766868307974,437.2347412109375,3300,2983,136.1001434326172,103,177,541,0,107
0,-120.38362057966476,34.531950729666605,305.0236511230469,3165,2462,139.22439575195312,111,171,478,0,95
0,-119.81121408060247,34.923526361853625,1014.7089233398438,3064,5139,127.51165008544922,69,197,649,0,123
0,-119.91146606631393,34.63759260703571,449.5364990234375,2682,4104,148.55967712402344,102,205,551,0,115
0,-119.59939133659918,34.678286289389625,1409.9337158203125,3282,5017,110.73987579345703,60,184,682,1,129
0,-120.47012834152869,34.52170993543184,145.118408203125,2950,2128,139.03683471679688,114,166,434,0,86
0,-119.64143249189755,34.921370405172624,703.843017578125,2217,5584,146,80,221,516,0,103
0,-120.42862617540082,34.68691011611364,86.53759002685547,2612,2298,141.98521423339844,114,172,374,0,77
0,-119.48539512704016,34.82489134369777,931.47125244140625,2493,5526,136.13327026367188,74,212,565,0,112
0,-120.06319151780738,34.89064802246834,683.86932373046875,2969,4467,136.6147918701172,87,199,581,0,113
0,-119.66326155330246,34.67855578397475,1610.9739990234375,3653,4909,98.00318908691406,51,173,739,1,139
0,-119.84517039834344,34.79228249889761,794.11187744140625,2820,4824,136.4003143310547,81,202,616,0,123
0,-120.41299548945656,34.580729249574276,92.8051528930664,2787,2217,143.70965576171875,117,172,412,0,83
0,-119.86565198682213,34.76075163243796,1073.7783203125,3219,4733,122.37609100341797,77,194,661,0,129
0,-119.68616859304836,34.92702979146025,676.7745361328125,2113,5457,146.02328491210938,81,219,516,0,103
0,-120.64503032735328,34.918405964736245,192.101318359375,3803,2019,134.11521911621094,110,160,449,0,88
0,-120.0656169690746,34.89442094666009,758.10211181640625,3086,4514,137.37469482421875,83,196,615,0,118
0,-120.41057003818935,34.78635361802486,178.0821533203125,2781,2383,141,112,172,376,0,77
0,-120.13460758289754,34.64783340127047,231.3006591796875,2540,3235,150.99700927734375,113,195,440,0,90
0,-119.72659278083525,34.59824639760742,1102.700439453125,3216,4666,118.94601440429688,70,185,694,1,133
0,-120.06777292575656,33.97867834640442,283.0512390136719,3127,2265,140.6523895263672,115,171,457,NA,95
0,-119.76540000111066,34.873400369020324,1279.4703369140625,3402,5087,119.25347137451172,66,192,674,1,127
0,-119.81067509143197,34.9254128239495,900.20635986328125,2781,5155,132.25161743164062,75,204,611,0,118
0,-119.87265884603853,34.86423755312606,1224.796875,3650,4920,120.6210708618164,66,188,696,1,131
0,-119.56516552427296,34.54461697516749,698.669189453125,2618,4641,142.09033203125,91,208,646,0,144
0,-119.51638700434344,34.499341884866446,703.58807373046875,2749,4626,140.611083984375,88,204,662,0,146
0,-119.62337635468607,34.56994946616927,594.91241455078125,2604,4563,145.32748413085938,94,209,627,0,138
0,-120.3650254532828,34.8731308744352,221.08084106445312,2785,2691,143.86537170410156,112,180,414,0,82
0,-120.14107545294345,34.739731054798185,376.0453796386719,2630,3594,148.21298217773438,106,196,482,0,97
0,-119.9335646223041,34.65726571174986,468.25128173828125,2647,4071,150.4045867919922,101,203,552,0,114
0,-119.59858285284345,34.84321697548629,1016.0018310546875,2743,5393,129.55845642089844,70,205,608,0,117
0,-119.86726895433361,34.6257348452902,436.8572998046875,2583,4129,152.38919067382812,103,208,542,0,114
0,-120.10199873808278,34.51685903289959,563.88427734375,3425,3543,139.39010620117188,97,185,615,0,124
0,-120.53211209613525,34.639748563716715,75.045013427734375,2905,1999,138.1270751953125,116,166,360,0,73
0,-119.62687978429426,34.73272419558493,1644.1287841796875,3984,4897,94.40794372558594,44,165,767,1,144
0,-120.28552455063524,34.854266253476425,192.622314453125,2585,2914,147.69390869140625,113,186,401,0,79
0,-119.57028592139262,34.48775361770606,730.41351318359375,2804,4480,140.9511260986328,91,203,671,0,149
0,-120.18069115697459,34.839444051294535,236.1243438720703,2409,3378,151.35435485839844,111,197,394,0,79
0,-119.96078357541394,34.80656571190926,661.1485595703125,2952,4562,136.6679229736328,85,199,607,0,120
0,-120.02195884626475,34.477243328886175,143.92770385742188,2753,3043,153.66754150390625,116,194,429,0,92
